name,address,region
PT Gaya Mitra Sejati,Jl.  P Diponegoro 103,denpasar
SD Negeri 09 Karang Tengah,Jl.  H Mean 63,jakarta
Pony Salon,Jl I Gusti Ngurah Rai 12-A,jakarta
Sawa,"Jl.  Damai, Mudal, Sariharjo, Ngaglik, Sleman",yogyakarta
Grand Motor,Jl.  Jendral Gatot Subroto Km 9 588  Sunggal,medan
SMP Negeri 1 Tambun Utara,Jl.  Sriamur Raya,bekasi
SMP Negeri 82,Jl.  Daan Mogot Kompleks Bdni,jakarta
SD Negeri 09 Pagi Tanah Tinggi,Jl.  Kramat Pulo 3,jakarta
SD Negeri Mekar Jaya 26,Jl.  Merapi Raya Ujung,depok
PT Aqua Pacific Internasional,Jl.  Wana Segara Gg Wina 4 Kerobokan Kuta,denpasar
Lekker Je Cafe,Jl.  Cik Di Tiro 22,yogyakarta
Bengkel Aladin Jaya,Jl.  Enggano 99 Koja Selatan Koja,jakarta
TK PGRI 11,Jl.  Lebdosari VIII 1,semarang
Wallabies Jaya,Sulaiman Plaza Blok A/12,batam
Atelias Versace,Jl.  Kuta Square D/39-40,denpasar
Kaisar PD,Jl.  Bandang 58 Parang Layang Bontoala,makassar
PT Sinkona Indonesia Lestari,Jl.  Ir H Juanda 107 Lebak Gede Coblong,bandung
Cacang Salon,Jl Jend Sudirman 408,bandung
Rappocini Motor,Jl.  Rappocini Raya 130 Rappo Kalling Tallo,makassar
The Oberoi Bali,Jl.  Laksmana,denpasar
Sekolah Harapan Mulia,Jl.  Gn Soputan Blok I/10,denpasar
CV Amertha Dana,Jl.  Werkudara 104,denpasar
Bank ICB Bumiputera Citra Grand,Kompleks Citra Grand III Blok R-3/25,bekasi
Agustine Tabrani IAI,Jl.  H Jahja Nuiha 1 Pondok Cina Beji,depok
Hotel Madukoro,Jl.  Taman Siswa 117/95,yogyakarta
TK Sentosa,Jl.  Madu 276,jakarta
Vogue Boutique,Pasar Atoom Thp II Blok BB/71 Lantai 3,surabaya
SMP St.Vincentius,Jl.  Otto Iskandar Dinata No.76,jakarta
Rumah Makan Fatmawati,Kompleks Ruko Tunas Industri 1-A/9,batam
Andy Pratama Motor,Jl.  KH Hasyim Ashari 11-A Petojo Utara Gambir,jakarta
PT Primarona Kencana Permai,Jl.  Pakis Argosari 47,surabaya
Rumah Makan Sate Hadori,Jl.  Stasiun Timur 11-12,bandung
SD Negeri 03 Tandang,Jl.  Kedungmundu 115,semarang
Young Salon,Jl.  Ki S Mangunsarkoro 17,semarang
PT Mega Indotex Raya,Pasar Tanah Abang Los I Blok C/21,tangerang
Thresias Butik,Jl.  Gn Cikurai 11 Kompleks Citra Asri Permai,bandung
ATM UOB Buana KCP Asia,Jl.  Asia 132/172,medan
Rumah Makan A Hong,Jl.  Kb Kawung Kios 42-43,bandung
