name,address,region
Nusa Multi Valas PT,Jl.  Raya Gn Sahari 33-A,jakarta
ATM UOB Buana KCP Psr Minggu,Jl.  Raya Ragunan 11,jakarta
Akay,Ruko Villa Bukit Mas Blok RP/7,surabaya
Blumas Salon,Jl.  Bedagan 458,semarang
PT Bank Ina Perdana,Ruko Taman Galaxy Indah Blok A/39,bekasi
30 Sea Food,Jl.  Letjen TB Simatupang 71-A,jakarta
Apotik Triputra,Jl.  Raya Darmo 67,surabaya
SMP Yosua 2,Jl.  Karya Bakti 15,medan
Apotik Indonesia,Jl.  Salak 38,jakarta
ATM BII Circle K Bintaro,Jl.  Kesehatan 58,jakarta
ATM BCA Puri Begawan,Jl.  Raya Pajajaran 5-7,bogor
ATM Danamon Wisma Relasi,Jl.  Panjang 333,jakarta
Lembaga Pendidikan Primagama,Jl.  Dr Soetomo 86 Sidokumpul,gresik
Klinik Bersalin Selamat,Jl.  Letda Sujono 149-A Tembung,medan
PT Toni Guy,Jl MH Thamrin Kav 28-30 EX 11-12 Lt 2,jakarta
Apotik Sidodadi,Jl.  Rungkut Lor RL V J-15,surabaya
SD Negeri 06 Soka,Jl.  Soka 34,bandung
Bank BJB Jl Raya Jatiwaringin,Jl.  Raya Jatiwaringin 76-C,jakarta
SD Negeri Teluk Dalam 10,Jl.  Sutoyo S Gg 12 46,banjarmasin
SD Marsudirini Poncol,Jl.  Pemuda 157,semarang
TK Asih Mulia,Jl.  Asep Berlian 32,jakarta
Apotik Sukajadi,Jl.  Sukajadi 7,bandung
SD Negeri 14-3 Griya Bumi Antapani,Jl.  Raya Cicalengka 1,bandung
ATM BNI KLN Manggarai,Jl.  Sultan Agung 60,jakarta
SMA Santo Thomas I,Jl.  Letjen S Parman 109,medan
Mutiara CV,Jl.  Pemuda 8 Jati Pulo Gadung,jakarta
Madrasah Aliyah Negeri IAIN Sunan Kalijaga,Kompleks IAIN Blok B,yogyakarta
PT Panah Mas Sakti,Jl.  Brigjen Katamso 761 Baru,medan
Apotik Renika,Jl.  Dr Setiabudi 152,medan
Asuransi Jiwa Bumi Asih Jaya Jl Monjali,Jl.  Monjali 61,yogyakarta
Bank Central Asia (BCA) Jl Daan Mogot,"Jl.  Daan Mogot Km 19,6 Pusat Niaga Terpadu",jakarta
Wiwin Salon,Jl Punden 34,surabaya
PT Cipta Inexco,Jl.  Sabar 17 Pasteur Sukajadi,bandung
Klinik Batam Sehat,Kompleks Bengkong Indah Blok F/1,batam
Apotik Persahabatan,Jl.  Persahabatan Raya 24,jakarta
Bunga Salon,Jl Jend A Yani 174,balikpapan
TK Kristen Ipeka,Jl.  Agung Permai XV Bl-C,jakarta
SMP PGRI 3,Jl.  Belda Gg Samadi Ilham,banjarmasin
Bengkel Cahaya Motor,Jl.  Ir H Juanda Baru 36 Sukaraja,medan
Escort Rent A Car,Jl.  Veteran III 7-A,jakarta
SMP LB C Negeri Semarang,"Jl.  Elang Raya 2, Meteseh, Tembalang",semarang
PT BPR Mutiara Semesta,Jl.  Nusantara Raya 183,depok
Toko Robin Turnip,Jl Aksara 52,medan
Sukses Abadi Motor UD,Jl.  Kapas Krampung 92 A Ploso Tambaksari,surabaya
Kaviar Kencana,Kompleks Karang Tengah Permai Blok TA-1/2,jakarta
SMP Pangudi,Jl.  Wates Km XII,yogyakarta
Warung Wonosobo,Jl.  Kyai Saleh 44,semarang
Restoran Dragon Phoenix,Jl.  KH Achmad Dahlan 27-29,malang
SMP Negeri 1 Denpasar,Jl.  Untung Suropati 2,denpasar
CV Amarta Megah Cipta,Jl.  Puri Anjasmoro Blok A-6/5-A,semarang
Klinik & Rumah Bersalin Setia,Jl.  Raya Serang-Cibarusah 41  Serang,bekasi
Sekolah Tinggi Hukum Garut,Jl.  H Hasan Arief 2,garut
TK Kristen Kanaan,Jl.  Kran Raya 7,jakarta
SMP Cipta Dharma,Jl.  Hayam Wuruk 30-A,denpasar
Transway Rent A Car,Jl.  Jendral Gatot Subroto 100 Ubung Kaja,denpasar
ATM BNI KC Kuala Tanjung,Jl.  Smelter Site,medan
PT Indisi,Jl.  Cisanggiri V 12 Petogogan Kebayoran Baru,jakarta
PT Medika Selaras,Jl.  HR Rasuna Said Kav 2-3 Blok X-5,jakarta
ATM BCA Hongkong Plaza,Jl.  Cirebon 65,medan
TK Yayasan Kristen Protestan Indonesia,Jl.  Belanak VI 26-B,jakarta
Corry Beauty Clinic,Jl.  Orion 63-65,medan
Apotik Elenor,Jl.  H Hasan 10-A,jakarta
Bank Mandiri Kompl Pamulang Permai,Kompleks Pamulang Permai,jakarta
TK Cita Buana,Jl.  RS Fatmawati 52 Wisma Subud,jakarta
Apotik Budi Luhur,Jl.  Jatisari Permai IX/L-20 Kompleks Pepelegi,surabaya
Loren Bridal House,Jl.  Karang Anyar 53,bandung
Monica Salon,Jl Pondok 121,padang
Kantin Panorama,Jl.  Babarsari 5-A,yogyakarta
Caswi Rumah Makan Sunda,Jl.  Pinang Ranti 16,jakarta
ATM Mandiri Ged Haery,Jl.  Kemang Selatan Raya 151 Gedung Haery,jakarta
ATM Mandiri Sudirman 7,Jl.  Jendral Sudirman 9,jakarta
Sambal Dadak,Jl.  Dr Djunjunan 155,bandung
ATM BRI KCP Aksara,Jl.  Arief Rahman Hakim 118-B,medan
Purmai Salon,Jl Lidah Kulon Sepat 134,surabaya
Agung Putra Rental,Jl.  Gunungsari Indah II 25,surabaya
Toko AAA,Jl.  Sersan Bajuri 3 Isola Sukasari,bandung
Pelangi CV,Jl.  Pajajaran 26 Tamansari,bandung
SD Benteng Samudra,Jl.  Kedung Cowek VI 20,surabaya
SMA Negeri 25,Kompleks Batu Raden VIII 21,bandung
Travel PT Anju Wisata,Jl.  Sisingamangaraja 39,medan
ATM BCA Gazebo Beach Hotel,Jl.  Danau Tamblingan 35,denpasar
Bank Central Asia (BCA) Jl Muara Karang,Jl.  Muara Karang Blok A-3-Utr/137,jakarta
Madrasah Tsanawiyah Ganting,Jl.  Ganting Bukit Surungan,padang
Toko Dinar,Jl.  Tidar 4,magelang
Apotik Tanjung,Jl.  IR Rais 88,malang
PT Swajaya Sentosa Abadi,Jl.  Cibolerang 49 Kopo Bojongloa Kaler,bandung
Travel Tanjung Permai,Jl.  Jendral Basuki Rachmad 41,malang
Barokah Rent Car,Jl Dermaga 93,jakarta
Toko Fresh 1,Top 100 Plaza Bl A/7-8,batam
Rumah Sakit BKIA Aisyiyah Gaung,Jl.  Banyuwangi 18,padang
Chairia,Jl.  Dahlia IV 244,medan
SMA Negeri 77,Jl.  Cempaka Putih Tgh XVII 18,jakarta
Batavia Rent Car,Jl Bangun Jaya Bl K/9,jakarta
Ninas Butik,Jl Wiguna Slt IV 5,surabaya
Playgroup & TK Pelangi,Jl.  Ki S Mangunsarkoro 94,semarang
SMK Negeri 3 Buduran,Jl.  Jenggolo 1-C,sidoarjo
ATM Mandiri Budi Mulia,Jl.  Budi Mulia Raya,jakarta
Ruth Chandra,Jl Tegalsari 70,surabaya
Pulau Mas UD,Jl.  Letjen Suprapto 17 Karang Jati,balikpapan
Sekolah Tinggi Ilmu Ekonomi Nobel Indonesia,Jl.  Pengayoman Ruko Mirah II Panakkukang Mas,makassar
Bouraq Indonesia Airlines PT,Jl.  Gajah Mada 61-D Kembangpaes,semarang
Cleresede Store,Area Apotik Kimia Farma Jl.  Malioboro No.123,yogyakarta
Balai Pengobatan Ridho,Jl.  Pembangunan 3 B Perladangan Helvetia,medan
ATM BCA Jamika 1,Jl.  Jamika 29,bandung
Travel Remaja,Jl.  Karang Empat Timur II 46,surabaya
Kaboga - Distributor Coklat Tobelo Tangerang,Jl.  Kameswara 3 No. 4 Cibodas Baru - Cibodas,tangerang
Yoniani Salon,Jl.  Sidomulyo 9,denpasar
Budi Jaya,Jl.  Pendidikan 53,denpasar
ATM Panin Citra Niaga,Jl.  Hutan Jati Kompleks Citra Niaga 2,jakarta
Pacific Beauty Centre Spa,Jl Karang Anyar 17,semarang
Rumah Sakit Harapan Keluarga,Jl.  Raya Kasuari Blok 1-A/B,bekasi
SMP Sultan Agung,Jl.  Dupak Rukun 229,surabaya
Apotik Jati Husada,Jl.  Jatimakmur Raya 6,jakarta
Apotik Ledo,Jl.  Ki Samaun 54,tangerang
Selecta Jaya Motor,Jl.  Kalijaga 108 Pegambiran Lemahwungkuk,cirebon
PT Multi,Jl.  Sariwates VIII 2,bandung
Rumah Sakit Umum Daerah Dr Doris Sylvanus,Jl.  Tambun Bungai 4 Palangka Pahandut,palangkaraya
Vidcodata PT,Jl.  Pancoran Indah I 52 Graha Pura Lantai 3,jakarta
TK Aisyiah 21,Jl.  Balai Pustaka Barat 2,jakarta
Stevi Catering Service,Kompleks Taman Kedoya Permai Blok A-1/18,jakarta
Ria Salon,Jl.  Letjen Jamin Ginting Km 17/7-5,medan
Karya Gemilang PT,Kompleks Wisma Winaya 67 Sayati Margahayu,bandung
Apotik Fadhlan,Jl.  Ismailiyah 69,medan
Play Group Al Uswan,Jl.  Ngagel Jaya Tgh I/8,surabaya
PT Duta Hari Inti Perkasa,Jl.  Batu Ceper VII 9 A Kebon Kelapa Gambir,jakarta
ATM Mandiri Kb Jeruk 3,Jl.  Mangga Raya Blok Y/20,jakarta
SMA Negeri Penebel,Jl.  Pitera Penebel Tabanan,denpasar
Bumi Anca,Jl.  Tambak Rejo 114,surabaya
Toko Sumatra Jaya,Pasar Raya 8-A,padang
Neo Eldi Salon,Jl.  Ngesrep Timur V 68,semarang
Al Fajar Pertenunan,Desa Kademangaran  Dukuhturi,tegal
Rosalina Salon,Jl.  Abadi I Blok C/4,bandung
Sagitarius,Desa Sebatu Br Pujung Kelod  Tegallalang,gianyar
Wisata Souvenir Shop,Jl.  Batam 9 Langkai Pahandut,palangkaraya
Istaka Karya PT Persero,Jl.  Raya Narogong Km 4,bekasi
mahkota catering,perumahan mekarsari permai cileungsi -,bogor
Galaxi Bubur Ayam,Ruko Taman Galaxy Indah Blok A/5,bekasi
Apotik Pondok Kelapa,Jl.  Pd Kelapa Raya Blok A-VIII/2,jakarta
PT Helios Arnotts Indonesia,Jl.  H Wahab Affan 8 Jatinegara Cakung,jakarta
Sumber Jaya Motor,Jl.  H Anang Adenansi 49,banjarmasin
Bank Negara Indonesia (BNI) Jl Banyu Putih,Jl.  Banyu Putih 1,semarang
ATM BRI KCP Rawasari,Jl.  Percetakan Negara 34-A,jakarta
Sahabat Citra Valas PT,Jl.  Gajah Mada 61-C,semarang
SMK Negeri 6,Jl.  Sidodadi Barat 8,semarang
Matahari Auto Gallery,Jl.  By Pass Ngurah Rai 28 Kerobokan Kuta,denpasar
Poliklinik Ppti Muara Angke,Jl.  Dermaga Muara Angke 1,jakarta
ATM BNI KC Utama Senayan 1,Jl.  Gatot Subroto Kav 55,jakarta
TK Sumbangsih,Jl.  Duren Bangka 36,jakarta
Mandarin Motor,Jl.  Magelang Kututegal 50 Sindudadi Mlati,yogyakarta
PT Bina Wahana Niaga Indonesia,Jl.  Pahlawan 18-20 Gedang,banjarmasin
Biro Klasifikasi Indonesia PT Persero,Jl.  S Cerekang 28,makassar
Restoran Bubur Ayam Mangga Besar I,Jl.  Mangga Besar I 46 A,jakarta
Apotik Zasa,Jl.  Cijagra Raya 1,bandung
SD Negeri 01 Turangga,Jl.  Turangga 27,bandung
Apotik Inti Farma,Jl.  Dharmahusada 124,surabaya
ATM Mandiri Blok M 2,Jl.  Bulungan 76,jakarta
Kresna Jaya Styro Foam and Polyurethane Foam,Jl. Raya Candi Mendut no 14,malang
Asuransi Jiwa Bumi Asih Jaya Jl Kapt P Tendean,Jl.  Kapt P Tendean 46,yogyakarta
Yayasan Bina Remaja Sayang,Kompleks Taman Ratu Indah Blok EE-7/7,jakarta
Dila Art Shop,Jl.  Majapahit 57 Kerobokan Kuta,denpasar
ATM BNI Memory Salon,Jl.  Ir H Juanda 185,bandung
PT Cakra Sarana Cipta,Jl.  H Junaedi 8 B Cipete Selatan Cilandak,jakarta
TK Islam Ar Roudhoh,Jl.  Rawa Kuning Gg Galur 65,jakarta
SD Negeri Koto Panjang 14,Jl.  Pelita 66,padang
Warung Mokka,Jl.  Prawirotaman 15,yogyakarta
Travel Anta Express Tour,Jl.  Cijerah 95,makassar
Prawita Sari,Jl.  Kaliurang 36,malang
PT Sum Mustika Prima,Jl.  KH Zainul Arifin Blok CDE/33,jakarta
PT Nusa Cendana Perkasa,Kompleks Graha Legenda Malaka Blok A-2/4,batam
Pos Cemara Tujuh,"Jl Kaliurang Km 5,8/27 Cemara Tujuh Plaza",yogyakarta
Fuad Rent,Jl Cendrawasih IV 44,makassar
PT Lintas,Jl.  Kb Kacang Raya 3,jakarta
Apotik Al Azhar,Jl.  Proklamasi 44,padang
Petrus Salon Wedding Service,Jl.  Delima 6,surabaya
Bakmi Ace,Jl.  Pademangan III 33-C,jakarta
SD Negeri Balearjosari 3,Jl.  Pahlawan 375,malang
ATM BCA Mandiri Supermarket Joni,Jl.  HM Joni 1,medan
SMA PGRI 4,Jl.  Veteran Simpang SMP 7 Gg 10,banjarmasin
SD BPK Penabur,Jl.  Taman Holis Indah Blok A,bandung
Rumah Makan Yanti,"Jl.  Sisingamangaraja Km 10,5/445",medan
ATM BCA Superindo Sltn Agung,Jl.  Sultan Agung 10,yogyakarta
Toko Sinar Abadi,Jl Somba Opu 175,makassar
Ruko Thamrin Square,Jl MH Thamrin 5 Ruko Thamrin Square Bl C/12,semarang
Laboratorium Klinik Utama Bio Test,Jl.  Sumatra 48,jakarta
PT Sekawan Jaya,Jl.  Arief Rachman Hakim 39,semarang
ATM BCA SPBU Platinum,Jl.  Raya Platina 108,medan
Dimas Salon,Jl.  Dharmawangsa 86 I,surabaya
Ayu Collection,Jl Legian Lawalon Centre,denpasar
Tresno Motor Bengkel Resmi Honda,Jl.  May Suryotomo 9 Ngupasan Gondomanan,yogyakarta
Toko Sunly,Jl.  Prembaen 1051 Kembangpaes,semarang
Oke CV,Jl.  Ngagel Jaya Utara 36 Pucangsewu Gubeng,surabaya
Klinik Holistik Indonesia,Jl.  Dr Cipto 8,medan
PT Mataram Tunggal Garment,Dsn Balong Donoharjo Pakem,yogyakarta
SD Muhammadiyah 17,Jl.  Bahari II 68,jakarta
Toko Jangkar,Jl.  Zaenal Arifin 94 Mangkukusuman,tegal
SD Griya Bumi Antapani XIV 3,Jl.  Cicalengka Raya 1,bandung
Page Fitnes,Jl Tawes Raya Perumnas 2,bekasi
PT Dwi Darma Farma,Jl.  Taman Hasanudin A-20 Panggung Lor,semarang
Akademi Maritim Suaka Bahari,Jl.  Jendral Sudirman 156,cirebon
SMA Islam Athirah,Jl.  Kajaolaliddo 22,makassar
Banama Tingang Hotel,Jl.  Jendral A Yani 57,palangkaraya
Asuransi Jiwa Bumi Asih Jaya Jl WR Supratman,Jl.  WR Supratman 1-D,denpasar
Artha Kurnia Motor,Jl.  Letjen Sutoyo 15 Klojen Klojen,malang
Balai Pengobatan Mitra Saudara,Jl.  Jendral A Yani 478 Kebonwaru Batununggal,bandung
Lasara Salon,Jl.  Kota Baru II 21,medan
Makmur Jaya UD,Jl.  Hang Tuah 27 Sidoklumpuk,sidoarjo
ATM BNI KCP Juwana,Jl.  Sunan Ngerang 290,semarang
Cacang Salon,Jl.  Jendral Sudirman 408,bandung
Ayam Goreng Indrawati Putra,Jl.  Terong 22,bandung
Hotel Semawang Beach,Jl.  Cemara 3,denpasar
Gaya Salon,Jl.  Dayeuhkolot 301,bandung
Yayasan Ghracya,Jl.  Saudara 55-A,medan
ATM Permata Lubuk Pakam,Jl.  T Rajamuda 88-A,medan
Bali Royal Suite Hotel,Jl.  Pratama 66,denpasar
PT Perindo Wisata,Jl.  Melawai XII 207-A,jakarta
SD Mutiara 9,Jl.  Situ Aksan Permai 43 Kompleks Taman Hijau,bandung
SD Negeri Garuda Dadali,Jl.  Dadali 5,bandung
PT Maikelindo Aneka Cipta,Jl Prapanca Raya 40,jakarta
Toko Gundaling,Jl Razak Baru 10,medan
Harry Nutler,Jl.  Sahadewa 1,denpasar
CV Bina Usaha,Jl.  Krembangan Baru I 32 A,surabaya
ATM HSBC BSD,Jl.  Pahlawan Seribu 8 A-B,tangerang
SD Asy Syafiiyah,Jl.  Simorejosari B VII 7-9,surabaya
ATM BCA Alfamart Cirendeu,Jl.  Raya Ciurendeu,tangerang
Stispol Wirabhakti Denpasar,Jl.  Cempaka 1,denpasar
Gamerja Transnusa,Jl.  Cipinang Cempedak I 45,jakarta
Grand Jaya,Jl.  Duri Selatan IV 6-G Duri Selatan Tambora,jakarta
CFC Salon,Jl Hang Lekir II 17,jakarta
PT Metrodata Sentra Layan,Jl.  Sriwijaya 12-B Peterongan,semarang
Toko Salam,Jl.  KH Wachid Hasyim 19 Notoprajan Ngampilan,yogyakarta
Sekolah Tinggi Teologi,Jl.  Proklamasi 27,jakarta
Rumah Makan Cakalele,Jl.  Janti 41,yogyakarta
SMP Paskalis 1,Jl.  Kresna 22,jakarta
Apotik Budi Agung,Jl.  Danau Sunter Utara Blok C-1/8-A,jakarta
Restoran Yee Lay Chinese,Perum Villa Bukit Mas Blok RP 1-2,surabaya
Rumah Sakit Ibu & Anak Permata Hati,Jl.  Imam Bonjol 1 Klandasan Ulu,balikpapan
Varuna Tirta Prakasya PT Persero,Jl.  Terusan H Ibrahim Aji 21,bandung
Toko Cruz,Pasar Tanah Abang Los C Blok B/6 2,jakarta
Klinik Santo Yusuf,Jl.  Kebraon I 1,surabaya
Galeri 24,Jl Pegadaian 1,banjarmasin
Gedung Altar Abadi,Jl Antara 11,jakarta
Yan Salon,Jl.  Rungkut Lor RL-2 Blok E/33,surabaya
Bank OCBC NISP Jl Raya Cinere,Jl.  Raya Cinere Blok A/10,jakarta
Percetakan dan Leveransir UD MITRA REKACIPTA,Jl.  Walet 2 No. 269,medan
Madrasah Tsanawiyah Negeri Set,Jl.  Letjen Suprapto 19,bekasi
Polsek Semin,Jl.  Raya Semin Km 1,yogyakarta
Graha Nusantara Wedding & Function Hall,Jl Mayjen DI Panjaitan Kav 24,jakarta
SD Negeri 03 Bojong Salaman,Jl.  Puspanjolo Selatan X,semarang
Colour Boutique,Jl.  Bunguran 45 Pasar Atoom Thp II St/2059-B,surabaya
ATM BII Grand Angkasa Int Hotel,Jl.  Sutomo 1,medan
KB Gracia,Jl.  Ngagel Madya I 35,surabaya
STIMIK Dian Nuswantoro,Jl.  Nakula I 7-11,semarang
Mini Market Aneka,Jl Pakis Raya 88-CN,jakarta
King Motor,Jl.  Jendral A Yani Km 88 Karang Mekar,banjarmasin
Husna Hijab,Jl.  Masjid 20 Singosari,malang
Mia wedding card,Jl.  Monjali 85 Gemawang,yogyakarta
Toko Victory,Jl.  Mandalagiri 72 Pakuwon,garut
SMP Agus Salim,Jl.  Raya Beruang 50,semarang
Shinta Motor UD,Jl.  Brigjen Katamso 60 Wates Wates,yogyakarta
ATM BCA Indomaret Kalimulya,Jl.  Raya Kalimulya,depok
ATM Mandiri Kemang 2,Jl.  Kemang Raya 35,jakarta
Puspa Salon,Jl Karang Tembok 43,surabaya
Astury,Jl.  Pura Bagus Teruna 522-X,denpasar
PT Busana Rama Textile & Garment,Jl.  Kesehatan III 23 Petojo Selatan Gambir,jakarta
Bank Mega Ruko Pinangsia Lippo,Ruko Pinangsia Lippo Karawaci Blok H/62-63,tangerang
Apotik Tanjung,Jl.  Jampea 129,jakarta
La Fayette,Jl Mayjen HR Mohammad 374,surabaya
Betsy,Jl.  Kapt P Tendean 12,malang
Kedutaan Besar Republik Federasi Brazil,Jl.  Jend. Gatot Subroto Kav. 9-11,jakarta
PT Flamboyan Kreasi,Jl.  Sawiran 1 Br Anyar Kaja Kerobokan Kuta,denpasar
Bank UOB Buana Jl KH Mas Mansyur,Jl.  KH Mas Mansyur 213-B,jakarta
Toko Kapuas,Pasar Baru Bl G/1-2 Lt Dasar,bekasi
Toko Nova,Pasar Tanah Abang Los F Blok B/3,jakarta
Rumah Makan Khas Minang,Jl.  Sunter Agung Utara Blok M/37,jakarta
Bali Cliff Resort,Jl.  Pura Batu Pageh Ungasan Nusa Dua,denpasar
Crystal Optik,Jl.  Flamboyan 44-C,medan
Perdana Foto Studio,Jl.  Babakan Sari I 132,bandung
Citra Pratama Rent Car,Jl.  Reog 17-A,bandung
TK Pelangi,Jl.  Bhayangkara 417,medan
Sukabumi Indah Hotel,Jl.  Selabintana Raya Warnasari,sukabumi
Shaqina,Jl.  Teuku Cik Ditiro 78 Jati,medan
Toko Djakarta,Pasar Johar Utara Dlm 68-71,semarang
PT Merck Sharp And Dohme,Jl.  Jendral Gatot Subroto 197 Petisah Tengah,medan
Budi Guna Motor,Jl.  Veteran Selatan 120 Mamajang Dlm Mamajang,makassar
Paris Salon,Kompl BTN Bung Permai Bl A 10/18,makassar
PT Bank Shinta Indonesia,Jl.  P Diponegoro 48-C,surabaya
Rumah Makan Corina,Jl.  Dharma husada 121-C,surabaya
PT Panglima Nusapersada,Jl.  Teh 4-10 Bongkaran Pabean Cantikan,surabaya
Barokah,Jl.  Bratang Gede 125,surabaya
ATM Danamon Citraland Mal 1,Jl.  Letjen S Parman Mal Citraland LG Fl,jakarta
Nugraha Motor,Jl.  P Diponegoro 36 Gowongan Jetis,yogyakarta
TK Bhayangkara,Jl.  Eri Suparjan 67,balikpapan
Kesambi Hijau Hotel,Jl.  Kesambi 7 Bendungan Gajah Mungkur,semarang
SD Negeri Percobaan 58,"Jl.  Pajagalan 58, Cibadak, Astanaanyar",bandung
PT Citra Bergerindo,Jl Margorejo Indah XIX 5,surabaya
SMP Kalibaru,Jl.  Kalianyar Gg X 18,jakarta
PT Rosa Alpha Mega Medica,Kompleks Taman Galaxi Indah Blok H-2/23,bekasi
Indosaluyu Primajaya PT,Jl.  Soekarno-Hatta 178 Kopo Bojongloa Kaler,bandung
Pepipela Pepes Nasi,Jl.  Kesehatan 11,bandung
Al Kahfi Salon,Jl Mayjen Panjaitan 193,malang
Yenny Salon Wedding Service,Jl.  Mulyosari Utara III 35,surabaya
Alfa Resort,Jl.  MH Thamrin 9 Cikokol,tangerang
TK Islam Aisyah,Jl.  Peneleh IX 23,surabaya
Bank Negara Indonesia (BNI) Jl Merdeka,Jl.  Merdeka 90,bogor
Bank Rakyat Indonesia (BRI) Jl Jend Gatot Subroto,Jl.  Jendral Gatot Subroto Kav 45,jakarta
Sugar Babe Salon,Jl Pluit Indah Raya Ruko Mega Mal Pluit R-70,jakarta
Calosa Ballet,Kavling Hankam blok W 2 No. 2 Joglo,jakarta
Ariyanti Family Salon,Jl Pasirkaliki 127-129-131,bandung
PT Nutricia Indonesia Sejahtera,Jl.  Yogya - Wonosari Km 6 272,yogyakarta
Bank Rakyat Indonesia (BRI) Jl Raya Malino,Jl.  Raya Malino,makassar
Pusat Kursus Komputer Karisma,Jl.  Watu Mujur I 14 Ketawanggede Sukun,malang
SLB Negeri Pembina,Jl.  Imogiri 224,yogyakarta
Cahya Prima Abadi PT,Jl.  Kombes Pol M Duryat 2 Tegalsari Tegalsari,surabaya
Ebony Salon,Jl.  Penghibur 91,makassar
Taman Sari Usaha,Jl Taman Sari,denpasar
Apotik Jati Makmur,Jl.  Jati Makmur Raya 12,jakarta
PT Tosersa Jaya,Jl Ujung Pandang 2,makassar
PT Kebayoran Pharma,Jl.  Garuda 12 Condongcatur Depok,yogyakarta
Melati Salon,Jl.  Pulau Moyo 99-XX,denpasar
Atik Salon,Jl Pucang Adi 42,surabaya
Bank Central Asia (BCA) Jl WR Supratman,Jl.  WR Supratman 18,denpasar
Jaya Makmur CV,Jl.  Sukaluyu 22 Cirangrang Babakan Ciparay,bandung
Angga Wiraguna Gold Silver,Jl Jagaraga Gg Umasari 1,denpasar
Toko Win Florist,Jl.  Green Ville Real Estate,jakarta
New Valentino Hotel,Jl.  Gagak 13-A Mariso Mariso,makassar
GREEN TRANZ Tour & Travel,Jl. Di Panjaitan no 33 Kec.Jatinegara Kodya,jakarta
Toko Indah Jaya Baru,Pasar Tanah Abang Los Los D Blok A/6 Lantai 1,jakarta
Lie Cu Hair Salon,Jl Asia 146/106,medan
Clinic BSD,BSD Junction Blok B/45,tangerang
Sepindo Perdana PT,Jl.  Hayam Wuruk 1 RI,jakarta
SD Negeri 05 Pagi Jagakarsa,Jl.  Sirsak,jakarta
Taman Balita Anak Bangsa,Jl.  Tukad Pulet 3,denpasar
Rumah Sakit Tingkat III Ciremai,Jl.  Kesambi 237,cirebon
Novotel Fitness Club,Jl Cirebon 76-A Novotel Soeci,medan
Hasana Jaya Hotel,Jl.  Pasar Kembang 80-82 Kupangkrajan Sawahan,surabaya
Ny Suharti Ayam Goreng,Jl.  Sulawesi 19,surabaya
Toko Cita Rasa Mandiri,Jl.  Jendral Gatot Subroto 35 Gunung Simping,cilacap
Bank Negara Indonesia (BNI) Jl Imam Bardjo,Jl.  Imam Bardjo SH 1,semarang
SMK Jayakarta,Jl.  Bunga Rampai XI Gg I 47,jakarta
Natural,Jl.  MH Thamrin 47,denpasar
Rumah Makan Mercury,Jl.  Sunter Paradise Blok K/46,jakarta
PT Erha Pharmacy Indonesia,Jl.  Bangbarung Raya 44,bogor
Sekolah Tinggi Manajemen Informatika Dan Komputer,Jl.  Kramat Raya 25,jakarta
SD Negeri 03 Karawaci Baru,Jl.  Raya Cidurian 2 Perumnas I,tangerang
SMA 1 Banjarmasin,Jl.  Mulawarman 25,banjarmasin
SMA Negeri 3,Jl.  Kom L Yos Sudarso 7,yogyakarta
SMA Yapita,Jl.  Arief Rachman Hakim 19,surabaya
Brawijaya Hotel,Jl.  Gambiran 1 Pandean Umbul Harjo,yogyakarta
Ebony Butik Salon,Jl Lagaligo 25,makassar
Elisabet Salon,Jl Dr Muwardi IV 22,jakarta
ATM BII KCP Teuku Umar,Jl.  Teuku Umar 228,denpasar
Rumah Makan Pondok Selera,Jl.  Cendrawasih 7,makassar
Travel Koperasi ASDP,Jl.  Kalimas Baru 194-A,surabaya
Dinasti Salon,Jl.  Timor 62-A,makassar
Bakmi Heboh,Jl.  Radar AURI 57,jakarta
Pondok Wisata,Jl.  Siliwangi 88,jakarta
Toko Adira,Jl.  HOS Cokroaminoto 27,makassar
Jogja Expo Center,Jl.  Raya Janti,yogyakarta
Restoran The View International,Jl.  Dago Pakar Raya 28,bandung
dekN'ZR Creative,Jl.  Lubuk Begalung No. 28,padang
ATM Permata Muara Karang,Jl.  Muara Karang Selatan Blok Z-3/50-A,jakarta
Toko Karya Baru,Jl.  Kalimantan 84 Ujung Tanah Ujungtanah,makassar
Riana,Jl Deli Tua 16,medan
TK Maria,Jl.  Kramat I 47,jakarta
SMP Negeri 142,Jl.  Joglo Raya,jakarta
Suman Dinar Valuta PT,Jl.  Padma Utara 2-G,denpasar
Creative Wiron,Jl.  Setra Indah Utara II 5,bandung
Bank OCBC NISP Jl Raya Kedoya,Jl.  Raya Kedoya Agave Perk Tomang Tol 8,jakarta
Angie Boutiqoe,Jl.  Gn Semeru 10,malang
Sekar Salon,Jl.  Sriwijaya 24,denpasar
Bagus,Jl.  Dr Wahidin Sudirohusodo 258,makassar
Hari Motor Service Station,Jl.  Jendral A Yani 47  Sepanjang,sidoarjo
Jaran Tunggal Rent Car,Jl Padma Kuta,denpasar
Bank OCBC NISP Jl Raya Bogor,Jl.  Raya Bogor Blok R-3/1,jakarta
Jordan Cafe Sera,Jl.  Merbabu 21,malang
PT Kanebo Tomen Sandang Synthetic Mills,Jl.  Sentramurni Tgh I 16,bandung
SD Alam,Jl.  Anda X 7,jakarta
SMA Bina Bangsa Sejahtera,"Jl.  Raya Darmaga Km 7/24, Dramaga",bogor
Apotik Kemandoran,Jl.  Kemandoran IV 1,jakarta
ATM BNI JPU Lobby Utara,Jl.  Sudirman Kav 1,jakarta
